step;total_time;work_time_min;work_time_avg;work_time_max;prep_time_min;prep_time_avg;prep_time_max;comm_time_min;comm_time_avg;comm_time_max
1;31,3;31,7;37,2;73,4;0,105;0,146;0,158;0,00642;0,00709;0,00778
2;31,2;31,6;37,2;73,3;0,0987;31;41,6;0,00451;0,00534;0,00657
3;31,2;31,6;37,2;73,3;0,104;30,9;41,5;0,00556;0,00658;0,00743
4;31,3;31,6;37,2;73,3;0,1;30,9;41,5;0,00444;0,00548;0,00656
5;31,2;31,6;37,2;73,3;0,0999;30,9;41,6;0,00392;0,00492;0,00592
6;31,5;31,6;37,3;73,6;0,0985;30,9;41,5;0,00466;0,00549;0,00668
7;31,2;31,6;37,2;73,3;0,104;31,1;41,8;0,00546;0,00647;0,0074
8;31,4;31,7;37,6;75,7;0,104;30,9;41,5;0,00439;0,00557;0,00669
9;31,2;31,6;37,2;73,3;0,0978;32,7;43,8;0,00431;0,00556;0,00639
10;31,4;31,7;37,4;74,3;0,105;30,9;41,5;0,00445;0,00549;0,00654
