step;total_time;work_time_min;work_time_avg;work_time_max;prep_time_min;prep_time_avg;prep_time_max;comm_time_min;comm_time_avg;comm_time_max
1;80,5;38,6;48,6;90,9;0,705;22,8;38;5,32;16,2;17,7
2;37,9;38,6;47,7;90,9;0,153;34,9;52;0,0177;0,0264;0,0324
3;38;38,6;47,7;91;0,117;36;52,2;0,0229;0,0357;0,0403
4;38,3;38,6;47,7;90,9;0,154;36,1;52,3;0,291;0,302;0,306
5;38;38,6;47,7;90,9;0,159;36;52,2;0,0477;0,0591;0,063
6;38;38,6;47,7;90,9;0,157;36;52,2;0,0665;0,0774;0,0813
7;38;38,6;47,7;90,9;0,152;36;52,3;0,0141;0,0249;0,0286
8;38,1;38,7;48,2;93,4;0,151;36,1;52,2;0,0399;0,0601;0,0645
9;38;38,6;47,7;90,9;0,153;37,7;54,5;0,041;0,0529;0,0567
10;37,9;38,6;47,8;91,6;0,153;36;52,2;0,013;0,024;0,0282
