step;total_time;work_time_min;work_time_avg;work_time_max;prep_time_min;prep_time_avg;prep_time_max;comm_time_min;comm_time_avg;comm_time_max
1;51,9;52,4;74,6;141;0,0403;0,0423;0,0439;0,00559;0,00564;0,00568
2;51,9;52,4;74,6;141;0,0376;33,2;88,3;0,00401;0,00476;0,00507
3;51,9;52,4;74,6;141;0,0379;33,2;88,4;0,00391;0,00473;0,00558
4;51,9;52,4;74,6;141;0,0377;33,2;88,3;0,00418;0,005;0,00576
5;51,9;52,4;74,6;141;0,0381;33,2;88,4;0,00388;0,00479;0,00561
6;51,9;52,4;74,6;141;0,0376;33,2;88,3;0,00387;0,00477;0,0055
7;51,9;52,4;74,6;141;0,0377;33,2;88,3;0,00394;0,00503;0,00558
8;52,2;52,7;76,2;146;0,0389;33,2;88,3;0,00398;0,00508;0,00561
9;51,9;52,4;74,6;141;0,0377;35,1;93,5;0,00409;0,00527;0,00587
10;52;52,4;75,1;143;0,0376;33,2;88,3;0,00388;0,00505;0,00558
