step;total_time;work_time_min;work_time_avg;work_time_max;prep_time_min;prep_time_avg;prep_time_max;comm_time_min;comm_time_avg;comm_time_max
1;37;37,6;67,3;96,9;0,0341;0,0599;0,0878;0,00333;0,00337;0,0034
2;36,9;37,6;67,2;96,9;0,0324;0,0499;0,086;0,00272;0,00274;0,00278
3;36,9;37,6;67,2;96,8;0,0324;0,0527;0,0993;0,00275;0,0029;0,00324
4;36,9;37,6;67,2;96,8;0,0324;0,0528;0,105;0,00264;0,00277;0,00304
5;36,9;37,6;67,2;96,8;0,0325;0,0519;0,0947;0,00241;0,00266;0,00292
6;36,9;37,6;67,2;96,8;0,0323;0,051;0,0946;0,00233;0,00266;0,00286
7;36,9;37,6;67,2;96,8;0,0313;0,0467;0,0922;0,00239;0,0027;0,00283
8;37,1;37,8;69,2;101;0,0296;0,0456;0,09;0,00193;0,00197;0,00201
9;36,9;37,6;67,2;96,8;0,0301;0,0744;0,205;0,0022;0,00224;0,00227
10;37;37,7;67,9;98,2;0,0298;0,0498;0,106;0,0022;0,00223;0,00227
