step;total_time;work_time_min;work_time_avg;work_time_max;prep_time_min;prep_time_avg;prep_time_max;comm_time_min;comm_time_avg;comm_time_max
1;65,1;65,5;92,6;186;0,0791;0,233;0,301;0,0141;0,0166;0,0186
2;64,9;65,4;92,5;187;0,0894;71,2;120;0,0105;0,0131;0,0154
3;64,9;65,4;92,5;187;0,0852;72,2;121;0,0101;0,0125;0,0149
4;64,9;65,4;92,4;186;0,0868;72,1;121;0,0101;0,0126;0,0149
5;64,9;65,4;92,4;186;0,0877;71,1;120;0,0103;0,0126;0,0151
6;64,9;65,4;92,4;186;0,09;71,1;120;0,0104;0,0161;0,0185
7;64,9;65,4;92,4;186;0,0891;71,1;120;0,01;0,0124;0,0149
8;65,2;65,7;94;192;0,0826;71,1;120;0,0103;0,0128;0,0153
9;64,9;65,4;92,4;186;0,0896;74,8;126;0,00999;0,0124;0,0149
10;65;65,5;92,9;188;0,0905;71,1;120;0,0101;0,0125;0,015
