step;total_time;work_time_min;work_time_avg;work_time_max;prep_time_min;prep_time_avg;prep_time_max;comm_time_min;comm_time_avg;comm_time_max
1;40,9;41,4;60,9;111;0,0675;0,174;0,211;0,00876;0,0106;0,0119
2;40,8;41,3;60,8;111;0,0794;37,2;69,3;0,00619;0,00775;0,00925
3;40,8;41,3;60,8;111;0,08;37,2;69,3;0,00639;0,00796;0,00945
4;40,8;41,3;60,8;111;0,0826;37,2;69,3;0,00681;0,00851;0,00991
5;40,8;41,3;60,8;111;0,079;37,2;69,3;0,00625;0,00783;0,00936
6;40,8;41,3;60,8;111;0,0795;37,2;69,3;0,00619;0,00783;0,00927
7;40,8;41,3;60,9;111;0,0804;37,2;69,3;0,0062;0,0079;0,00941
8;41;41,5;62;115;0,075;37,2;69,3;0,00603;0,00776;0,00909
9;40,7;41,3;60,8;111;0,0796;39,3;73;0,00615;0,00785;0,00923
10;40,8;41,4;61,2;112;0,0792;37,2;69,3;0,00633;0,00801;0,00965
