step;total_time;work_time_min;work_time_avg;work_time_max;prep_time_min;prep_time_avg;prep_time_max;comm_time_min;comm_time_avg;comm_time_max
1;49,4;50;73,7;135;0,0986;0,12;0,132;0,00874;0,011;0,0125
2;49,4;50;73,7;135;0,0855;45,5;84,4;0,00675;0,00851;0,0106
3;49,4;50;73,7;135;0,0887;45,5;84,3;0,00754;0,00943;0,0118
4;49,4;50;73,7;135;0,0855;45,5;84,3;0,00701;0,00888;0,0108
5;49,4;50;73,7;135;0,0863;45,5;84,3;0,0067;0,00851;0,0105
6;49,4;50;73,7;135;0,0861;45,5;84,3;0,00671;0,00851;0,0104
7;49,4;50;73,7;135;0,0864;45,5;84,3;0,00661;0,00844;0,0104
8;49,6;50,2;75,1;139;0,0841;45,5;84,3;0,00672;0,00852;0,0104
9;49,4;50;73,7;135;0,0943;48;88,8;0,00666;0,00846;0,011
10;49,4;50;74,1;136;0,0866;45,5;84,3;0,00665;0,00846;0,0111
