1024	0,008324	0,000427
2048	0,02569	0,001145
4096	0,04406	0,00033
8192	0,1348	0,0014
16384	0,503	0,012
32768	0,6866	0,0223
65536	1,905	0,0075
131072	5,271	0,0505
262144	6,454	0,142
524288	17,52	0,31
1048576	46,63	0,115
2097152	55,57	0,185
4194304	154,5	1,25
8388608	413,1	3,55
16777216	476	3
33554432	1270	1

