1	46,54	47,25	0,000018765	0,000002625
2	27,73	46,25	0,03682	0,001309
4	36,94	67,48	0,05347	0,002624
8	51,94	74,81	30,07423	0,005012
16	31,29	37,27	28,0346	0,005799
32	49,42	73,88	41,212	0,008872
32	40,82	60,98	33,7074	0,0082
64	64,96	92,65	64,6033	0,01336
128	42,27	47,85	34,76	1,68625
256	50,14	68,83	52,12	0,36915
