1024	0,91    0,24    0,09    0,58
2048	1,31    0,42    0,18    0,71    
4096	2,48    0,79    0,35    1,35
8192	4,28    1,53    0,69    2,06
16384	7,23    3,01    1,38    2,84
32768	13,66   5,98    2,76    4,92
65536	24,73   11,92   5,51    7,3
131072	45,22   23,8    11,01   10,41
262144	87,43   47,49   22,02   17,92
524288	166,47  95,09   44,04   27,34
1048576	318,14  190,18  88,08   39,88
2097152	621,1   380,21  176,16  64,73
4194304	1216,34 760,3   352,32  103,72
8388608	2377,01 1519,89 704,65  152,47
