1024	0,02034	0,02151	0,009308	0,0002389
2048	0,04135	0,05411	0,013895	0,0003014
4096	0,1327	0,1433	0,015432	0,000497
8192	0,1744	0,2094	0,021567	0,0006454
16384	0,4502	0,6146	0,095207	0,0009553
32768	1,87	1,963	0,177595	0,001597
65536	2,235	2,391	0,18005	0,001604
131072	6,181	6,389	0,25397	0,002336
262144	15,54	24,89	10,23496	0,004623
524288	18,61	28,61	10,5211	0,004952
1048576	49,45	73,88	41,1317	0,008755
2097152	132,111	157,111	162,84	0,014544444
4194304	190,8	187,5	21,69	0,59615
