step;total_time;work_time_min;work_time_avg;work_time_max;prep_time_min;prep_time_avg;prep_time_max;comm_time_min;comm_time_avg;comm_time_max
1;0,177;0,179;0,21;0,242;0,00121;0,00217;0,00249;0,0022;0,00225;0,00232
2;0,174;0,18;0,209;0,242;0,000816;0,0236;0,0603;0,00042;0,000444;0,00049
3;0,174;0,179;0,209;0,242;0,000813;0,0238;0,0605;0,000421;0,000441;0,000482
4;0,174;0,179;0,209;0,242;0,000811;0,0237;0,0603;0,000439;0,000457;0,000499
5;0,174;0,179;0,209;0,242;0,000796;0,0238;0,0605;0,000432;0,000453;0,00049
6;0,174;0,18;0,209;0,242;0,000791;0,0237;0,0604;0,000436;0,000459;0,0005
7;0,174;0,179;0,209;0,242;0,000775;0,0238;0,0604;0,000425;0,000449;0,000487
8;0,174;0,18;0,21;0,242;0,00078;0,0237;0,0603;0,000444;0,000465;0,000504
9;0,175;0,18;0,21;0,243;0,00141;0,0239;0,0605;0,000542;0,000584;0,000688
10;0,174;0,18;0,21;0,242;0,000821;0,0235;0,0602;0,000399;0,000452;0,000495
