step;total_time;work_time_min;work_time_avg;work_time_max;prep_time_min;prep_time_avg;prep_time_max;comm_time_min;comm_time_avg;comm_time_max
1;49,6;50;73,7;135;0,109;0,217;0,236;0,00938;0,0112;0,0126
2;49,4;50;73,7;135;0,0858;45,4;84,3;0,00704;0,0085;0,0106
3;49,4;50;73,7;135;0,0862;45,4;84,2;0,007;0,00856;0,0107
4;49,4;50;73,7;135;0,0798;45,4;84,3;0,00722;0,0088;0,0107
5;49,4;50;73,7;135;0,0868;45,4;84,2;0,00675;0,00833;0,0103
6;49,4;50;73,7;135;0,0871;45,4;84,2;0,00677;0,00837;0,0103
7;49,4;50;73,7;135;0,0857;45,4;84,2;0,00674;0,00836;0,0104
8;49,6;50,2;75,1;139;0,086;45,4;84,3;0,00702;0,0085;0,0106
9;49,4;50;73,7;135;0,0882;47,9;88,7;0,00693;0,00858;0,0105
10;49,5;50;74,1;136;0,0873;45,4;84,3;0,00672;0,00835;0,0103
