step;total_time;work_time_min;work_time_avg;work_time_max;prep_time_min;prep_time_avg;prep_time_max;comm_time_min;comm_time_avg;comm_time_max
1;1,87;1,78;1,96;2,22;0,00331;0,00695;0,00804;0,00356;0,00376;0,00406
2;1,87;1,78;1,96;2,22;0,0025;0,197;0,392;0,00129;0,00149;0,00169
3;1,86;1,78;1,96;2,22;0,00259;0,196;0,389;0,00132;0,00146;0,00162
4;1,87;1,78;1,96;2,22;0,00269;0,196;0,389;0,00109;0,00121;0,00134
5;1,86;1,78;1,96;2,22;0,00277;0,196;0,389;0,0013;0,00145;0,0016
6;1,87;1,78;1,96;2,22;0,00264;0,196;0,389;0,00109;0,00121;0,00133
7;1,87;1,78;1,96;2,22;0,00248;0,197;0,389;0,00153;0,00176;0,00198
8;1,89;1,79;1,98;2,24;0,00274;0,195;0,389;0,0011;0,00122;0,00133
9;1,86;1,78;1,96;2,22;0,00263;0,2;0,394;0,00108;0,00121;0,00134
10;1,88;1,79;1,97;2,23;0,00261;0,196;0,389;0,00109;0,0012;0,00132
