step;total_time;work_time_min;work_time_avg;work_time_max;prep_time_min;prep_time_avg;prep_time_max;comm_time_min;comm_time_avg;comm_time_max
1;15,6;15,6;24,9;44;0,0202;0,0496;0,053;0,00499;0,00577;0,00656
2;15,5;15,6;24,8;44;0,0234;11,3;28,3;0,00389;0,0049;0,00583
3;15,5;15,6;24,8;44;0,0228;11,3;28,3;0,00344;0,00439;0,00517
4;15,5;15,6;24,8;44;0,0157;11,3;28,3;0,00342;0,00438;0,00518
5;15,5;15,6;24,8;44;0,0218;11,3;28,3;0,0036;0,00447;0,00525
6;15,5;15,6;24,8;44;0,0217;11,3;28,3;0,00428;0,00498;0,00569
7;15,5;15,6;24,8;44;0,0225;11,3;28,3;0,00329;0,00397;0,0046
8;15,6;15,7;25,4;45,7;0,0224;11,3;28,3;0,00336;0,00424;0,00512
9;15,6;15,6;24,8;44;0,0217;11,9;29,9;0,00389;0,00454;0,00517
10;15,6;15,7;25;44,5;0,0223;11,3;28,3;0,00382;0,00459;0,00516
