step;total_time;work_time_min;work_time_avg;work_time_max;prep_time_min;prep_time_avg;prep_time_max;comm_time_min;comm_time_avg;comm_time_max
1;479;278;398;703;0,604;95,8;277;1,39;5,72;8,05
2;158;160;164;176;0,816;34,2;77,8;0,0181;0,0241;0,0313
3;158;160;164;176;0,848;11,1;16,9;0,0174;0,0355;0,0517
4;159;160;164;176;0,861;10,5;16,2;0,0166;0,0233;0,0278
5;159;160;164;176;0,885;10,6;16,5;0,0149;0,0215;0,0268
6;159;160;164;176;0,851;10,8;16,9;0,017;0,0234;0,0282
7;159;160;164;176;0,861;10,6;16,5;0,0418;0,0482;0,0537
8;159;161;165;178;0,867;10,8;16,8;0,0174;0,0227;0,0273
9;159;160;164;176;0,847;11,8;18,2;0,0146;0,0212;0,0263
10;159;161;164;175;0,851;10,7;16,7;0,0163;0,0216;0,0263
