step;total_time;work_time_min;work_time_avg;work_time_max;prep_time_min;prep_time_avg;prep_time_max;comm_time_min;comm_time_avg;comm_time_max
1;0,0428;0,0432;0,055;0,0733;0,000468;0,00075;0,000874;0,000794;0,000827;0,000889
2;0,0412;0,042;0,0539;0,0737;0,000222;0,0155;0,0285;0,000228;0,000242;0,000262
3;0,0414;0,0426;0,0539;0,0743;0,000171;0,0159;0,0289;0,000234;0,000242;0,000271
4;0,0419;0,043;0,0546;0,0729;0,000171;0,0169;0,03;0,000221;0,000231;0,000262
5;0,0409;0,042;0,0539;0,0722;0,000167;0,0153;0,0288;0,00024;0,000252;0,000279
6;0,0412;0,0424;0,0539;0,0722;0,000119;0,0151;0,0281;0,000225;0,000244;0,000259
7;0,0412;0,0423;0,0542;0,0722;0,000164;0,015;0,0281;0,000232;0,000245;0,00027
8;0,0411;0,0422;0,0539;0,0721;0,000163;0,0145;0,028;0,000233;0,000246;0,000271
9;0,0409;0,0421;0,0538;0,0722;0,000118;0,015;0,0279;0,000234;0,000249;0,000275
10;0,0409;0,042;0,054;0,0723;0,000153;0,015;0,028;0,000226;0,000236;0,000265
