step;total_time;work_time_min;work_time_avg;work_time_max;prep_time_min;prep_time_avg;prep_time_max;comm_time_min;comm_time_avg;comm_time_max
1;0,453;0,461;0,614;0,764;0,00233;0,00407;0,00439;0,00258;0,00272;0,00288
2;0,448;0,461;0,614;0,764;0,0013;0,105;0,291;0,000694;0,000733;0,000797
3;0,449;0,462;0,615;0,764;0,00147;0,106;0,291;0,000693;0,000727;0,00078
4;0,449;0,461;0,614;0,763;0,00141;0,106;0,291;0,00086;0,000907;0,000995
5;0,448;0,461;0,614;0,764;0,00135;0,105;0,291;0,000676;0,000714;0,000769
6;0,449;0,462;0,614;0,764;0,00138;0,105;0,291;0,000675;0,000712;0,000766
7;0,449;0,461;0,614;0,764;0,00146;0,106;0,292;0,000805;0,000854;0,000957
8;0,458;0,471;0,617;0,766;0,00131;0,105;0,291;0,000697;0,000736;0,000802
9;0,448;0,461;0,614;0,763;0,00139;0,105;0,292;0,000681;0,000726;0,000782
10;0,451;0,463;0,616;0,766;0,00146;0,105;0,291;0,000671;0,000724;0,00077
