step;total_time;work_time_min;work_time_avg;work_time_max;prep_time_min;prep_time_avg;prep_time_max;comm_time_min;comm_time_avg;comm_time_max;max_alloced
1;0,198;0,199;0,232;0,27;0,000621;0,00114;0,00142;0,00175;0,00181;0,00191;1795404
2;0,196;0,198;0,232;0,27;0,000617;0,0267;0,0684;0,000367;0,000383;0,000407;1871276
3;0,196;0,199;0,232;0,27;0,000608;0,0267;0,0683;0,000349;0,000361;0,000385;1947148
4;0,196;0,198;0,232;0,27;0,000619;0,0268;0,0685;0,000372;0,000383;0,000407;2023020
5;0,196;0,199;0,232;0,27;0,000596;0,0268;0,0685;0,000419;0,000449;0,000469;2098892
6;0,196;0,198;0,232;0,27;0,000659;0,0266;0,0683;0,000357;0,00037;0,000389;2174764
7;0,196;0,198;0,232;0,27;0,000607;0,0267;0,0683;0,000365;0,000383;0,000402;2250636
8;0,196;0,199;0,233;0,27;0,000637;0,0267;0,0683;0,000369;0,000382;0,000417;2326508
9;0,196;0,199;0,232;0,27;0,000676;0,0268;0,0685;0,000399;0,000432;0,000464;2402380
10;0,196;0,199;0,232;0,27;0,000583;0,0267;0,0683;0,000344;0,000368;0,000395;2478252
