step;total_time;work_time_min;work_time_avg;work_time_max;prep_time_min;prep_time_avg;prep_time_max;comm_time_min;comm_time_avg;comm_time_max;max_alloced
1;0,783;0,792;0,89;1,07;0,00315;0,00415;0,00484;0,00244;0,00254;0,00272;5653508
2;0,78;0,792;0,89;1,07;0,00231;0,146;0,277;0,000681;0,000726;0,000788;5831748
3;0,78;0,792;0,89;1,07;0,00205;0,146;0,278;0,000747;0,000867;0,000968;6009988
4;0,78;0,792;0,89;1,07;0,00235;0,146;0,277;0,000671;0,000711;0,000766;6188228
5;0,78;0,792;0,89;1,07;0,00231;0,146;0,277;0,000766;0,000842;0,000927;6366468
6;0,78;0,792;0,89;1,07;0,00228;0,145;0,277;0,000678;0,000728;0,000795;6544708
7;0,78;0,792;0,89;1,07;0,00229;0,146;0,277;0,000682;0,00073;0,000783;6722948
8;0,781;0,793;0,891;1,08;0,00221;0,146;0,277;0,000914;0,00102;0,00113;6901188
9;0,779;0,791;0,89;1,07;0,00227;0,148;0,281;0,000668;0,000718;0,000766;7079428
10;0,78;0,792;0,89;1,08;0,00232;0,145;0,277;0,000683;0,000727;0,000795;7257668
