step;total_time;work_time_min;work_time_avg;work_time_max;prep_time_min;prep_time_avg;prep_time_max;comm_time_min;comm_time_avg;comm_time_max;max_alloced
1;0,311;0,314;0,359;0,413;0,0016;0,00218;0,00256;0,00206;0,00212;0,00219;2990056
2;0,308;0,314;0,359;0,413;0,00156;0,04;0,0958;0,000433;0,000453;0,000467;3133704
3;0,309;0,314;0,359;0,413;0,00156;0,04;0,0959;0,000435;0,000452;0,00048;3277352
4;0,317;0,317;0,359;0,413;0,00158;0,04;0,0959;0,000428;0,000451;0,000486;3421000
5;0,308;0,314;0,359;0,413;0,00159;0,0401;0,096;0,00044;0,000455;0,000486;3564648
6;0,309;0,314;0,359;0,413;0,0015;0,0401;0,096;0,000476;0,000507;0,000533;3708296
7;0,308;0,314;0,359;0,413;0,00157;0,04;0,0958;0,000431;0,000448;0,000472;3851944
8;0,309;0,314;0,359;0,413;0,00155;0,0399;0,0958;0,000437;0,000454;0,000482;3995592
9;0,309;0,314;0,359;0,413;0,00157;0,04;0,0959;0,000436;0,000456;0,000486;4139240
10;0,309;0,314;0,36;0,413;0,00157;0,04;0,0958;0,000431;0,000448;0,000474;4282888
