step;total_time;work_time_min;work_time_avg;work_time_max;prep_time_min;prep_time_avg;prep_time_max;comm_time_min;comm_time_avg;comm_time_max;max_alloced
1;2,4;2,26;2,52;2,79;0,00471;0,00613;0,00717;0,00403;0,00419;0,0045;11040640
2;2,41;2,26;2,52;2,79;0,00427;0,189;0,504;0,00139;0,00151;0,00171;11331712
3;2,4;2,26;2,52;2,79;0,0042;0,189;0,504;0,00129;0,00145;0,00161;11622784
4;2,4;2,26;2,52;2,79;0,00427;0,189;0,504;0,00125;0,00143;0,0016;11913856
5;2,4;2,26;2,52;2,79;0,00416;0,188;0,504;0,00113;0,00126;0,00138;12204928
6;2,4;2,26;2,52;2,79;0,00424;0,189;0,504;0,00131;0,00147;0,00162;12496000
7;2,4;2,26;2,52;2,79;0,00431;0,189;0,504;0,00113;0,00125;0,00137;12787072
8;2,41;2,26;2,53;2,8;0,00414;0,188;0,504;0,00111;0,00124;0,00135;13078144
9;2,4;2,26;2,52;2,79;0,0042;0,191;0,513;0,00126;0,00142;0,0016;13369216
10;2,4;2,26;2,53;2,79;0,00412;0,188;0,504;0,00134;0,0015;0,00167;13660288
