step;total_time;work_time_min;work_time_avg;work_time_max;prep_time_min;prep_time_avg;prep_time_max;comm_time_min;comm_time_avg;comm_time_max;max_alloced
1;580;584;592;599;3,82;4,55;4,75;0,0245;0,0293;0,0353;2292320676
2;580;584;592;599;4,29;8,57;17,7;0,0183;0,022;0,0269;2301730628
3;580;584;592;599;4,3;8,56;17,7;0,0184;0,0221;0,0271;2311140580
4;580;584;592;599;4,3;8,56;17,7;0,0178;0,0227;0,028;2320550532
5;580;584;592;599;4,3;8,58;17,7;0,0174;0,0226;0,0278;2329960484
6;580;584;592;599;4,3;8,56;17,7;0,0184;0,0222;0,0269;2339370436
7;580;584;592;599;4,3;8,82;18,3;0,0189;0,0235;0,0289;2348780388
8;583;587;595;601;4,3;8,6;17,7;0,0177;0,0225;0,0277;2358190340
9;580;584;592;599;4,29;8,41;17,4;0,017;0,0233;0,0286;2367600292
10;581;585;593;600;4,3;8,58;17,6;0,017;0,0219;0,0276;2377010244
