step;total_time;work_time_min;work_time_avg;work_time_max;prep_time_min;prep_time_avg;prep_time_max;comm_time_min;comm_time_avg;comm_time_max
1;2,24;2,22;2,39;2,63;0,00692;0,0145;0,0156;0,00251;0,00272;0,00293
2;2,23;2,22;2,39;2,63;0,00643;0,198;0,417;0,00149;0,00159;0,00175
3;2,23;2,22;2,39;2,63;0,00636;0,198;0,417;0,00148;0,00159;0,00176
4;2,23;2,22;2,39;2,63;0,00643;0,198;0,417;0,00147;0,00157;0,00173
5;2,24;2,22;2,39;2,63;0,00631;0,197;0,415;0,00118;0,00128;0,0014
6;2,23;2,22;2,39;2,63;0,00633;0,199;0,419;0,00142;0,00152;0,00169
7;2,23;2,22;2,39;2,63;0,00621;0,196;0,413;0,00133;0,00144;0,00159
8;2,25;2,23;2,4;2,66;0,00638;0,198;0,416;0,00119;0,00127;0,00141
9;2,23;2,22;2,39;2,63;0,00584;0,206;0,433;0,00131;0,00149;0,00165
10;2,24;2,23;2,39;2,64;0,00628;0,196;0,415;0,00146;0,00157;0,00167
