step;total_time;work_time_min;work_time_avg;work_time_max;prep_time_min;prep_time_avg;prep_time_max;comm_time_min;comm_time_avg;comm_time_max;max_alloced
1;0,068;0,068;0,0857;0,102;0,000421;0,000623;0,000768;0,000814;0,000848;0,000907;952680
2;0,0669;0,068;0,0857;0,102;0,00029;0,012;0,0305;0,000233;0,000242;0,00027;992840
3;0,0669;0,068;0,0857;0,102;0,00032;0,012;0,0305;0,000221;0,000244;0,00027;1033000
4;0,0669;0,068;0,0857;0,102;0,000311;0,0122;0,0307;0,000223;0,000232;0,000253;1073160
5;0,0669;0,068;0,0857;0,102;0,000301;0,012;0,0305;0,000227;0,000235;0,000266;1113320
6;0,0669;0,0681;0,0857;0,102;0,000301;0,012;0,0305;0,000227;0,000238;0,000259;1153480
7;0,0669;0,068;0,0857;0,102;0,000302;0,0121;0,0306;0,000223;0,000231;0,000252;1193640
8;0,0669;0,068;0,0857;0,102;0,000334;0,012;0,0305;0,000216;0,000229;0,000256;1233800
9;0,0669;0,068;0,0857;0,102;0,000307;0,012;0,0305;0,000224;0,000237;0,000262;1273960
10;0,0669;0,068;0,0858;0,102;0,000296;0,012;0,0305;0,000217;0,000226;0,000252;1314120
