step;total_time;work_time_min;work_time_avg;work_time_max;prep_time_min;prep_time_avg;prep_time_max;comm_time_min;comm_time_avg;comm_time_max;max_alloced
1;0,0293;0,0266;0,0348;0,0442;0,000318;0,000478;0,00057;0,000611;0,000632;0,00067;550992
2;0,0287;0,0266;0,0348;0,0442;0,00018;0,00633;0,0175;0,000178;0,000187;0,000214;590384
3;0,0287;0,0266;0,0348;0,0442;0,000201;0,00632;0,0175;0,000172;0,000184;0,000208;629776
4;0,0287;0,0266;0,0348;0,0442;0,000201;0,0063;0,0174;0,000167;0,000182;0,000205;669168
5;0,0287;0,0266;0,0348;0,0442;0,000204;0,00629;0,0174;0,000172;0,000183;0,000224;708560
6;0,0287;0,0266;0,0348;0,0442;0,000208;0,00631;0,0174;0,000173;0,000183;0,000209;747952
7;0,0287;0,0266;0,0348;0,0442;0,000206;0,00631;0,0174;0,000168;0,000179;0,000202;787344
8;0,0287;0,0266;0,0348;0,0442;0,000194;0,00632;0,0174;0,000171;0,00018;0,000199;826736
9;0,0287;0,0266;0,0348;0,0443;0,000203;0,00631;0,0174;0,000174;0,000203;0,000236;866128
10;0,0288;0,0266;0,0348;0,0443;0,000219;0,00644;0,0176;0,00017;0,000181;0,000203;905520
