step;total_time;work_time_min;work_time_avg;work_time_max;prep_time_min;prep_time_avg;prep_time_max;comm_time_min;comm_time_avg;comm_time_max;max_alloced
1;65,5;66;88;144;0,265;0,328;0,362;0,00939;0,011;0,0124;295745460
2;65,4;66;88;144;0,259;42,1;78,1;0,00708;0,00889;0,0108;298233716
3;65,4;66;88;144;0,262;42,1;78,1;0,00713;0,00891;0,0108;300721972
4;65,4;66;88;144;0,268;42,1;78,1;0,00706;0,00853;0,0101;303210228
5;65,4;65,9;88;144;0,259;42,1;78,1;0,00686;0,0088;0,0107;305698484
6;65,4;65,9;88;144;0,26;42,1;78,1;0,00679;0,00877;0,011;308186740
7;65,4;65,9;88;144;0,261;42,1;78,1;0,00719;0,00905;0,011;310674996
8;65,4;66;88,8;147;0,252;42,1;78,1;0,00681;0,00869;0,0107;313163252
9;65,4;65,9;88;144;0,258;43,8;81,2;0,00676;0,00876;0,0108;315651508
10;65,4;65,9;88,3;145;0,261;42,1;78,1;0,00682;0,00884;0,0108;318139764
