step;total_time;work_time_min;work_time_avg;work_time_max;prep_time_min;prep_time_avg;prep_time_max;comm_time_min;comm_time_avg;comm_time_max
1;132;133;157;368;0,202;0,56;0,603;0,0153;0,0202;0,0234
2;132;133;157;368;0,217;182;235;0,0109;0,0135;0,0167
3;132;133;157;368;0,213;182;235;0,011;0,0137;0,0179
4;132;133;157;368;0,215;182;235;0,0108;0,0135;0,0175
5;132;133;157;368;0,215;182;235;0,0108;0,0136;0,0177
6;132;133;157;368;0,218;182;235;0,0125;0,0152;0,0189
7;132;133;157;368;0,214;182;235;0,0107;0,0136;0,0187
8;133;133;158;380;0,207;182;235;0,0109;0,0137;0,0185
9;132;133;157;368;0,214;191;246;0,0111;0,0139;0,019
