step;total_time;work_time_min;work_time_avg;work_time_max;prep_time_min;prep_time_avg;prep_time_max;comm_time_min;comm_time_avg;comm_time_max;max_alloced
1;8,54;7,76;8,43;9,12;0,0179;0,0231;0,0249;0,003;0,00342;0,00384;39424900
2;8,53;7,75;8,43;9,11;0,0197;0,567;1,38;0,00206;0,00236;0,00265;40069124
3;8,53;7,75;8,43;9,12;0,02;0,567;1,38;0,00208;0,00237;0,00267;40713348
4;8,54;7,75;8,43;9,11;0,0201;0,567;1,38;0,00205;0,00235;0,00266;41357572
5;8,53;7,75;8,43;9,11;0,0194;0,567;1,38;0,00174;0,00198;0,00224;42001796
6;8,52;7,75;8,42;9,11;0,0198;0,566;1,38;0,00201;0,00233;0,00264;42646020
7;8,53;7,75;8,43;9,11;0,0191;0,566;1,38;0,00166;0,00192;0,00218;43290244
8;8,61;7,76;8,46;9,17;0,0198;0,568;1,38;0,00196;0,00227;0,0026;43934468
9;8,52;7,75;8,42;9,11;0,0198;0,576;1,42;0,00206;0,00235;0,00265;44578692
10;8,55;7,75;8,44;9,13;0,0196;0,568;1,38;0,00168;0,00193;0,00217;45222916
