step;total_time;work_time_min;work_time_avg;work_time_max;prep_time_min;prep_time_avg;prep_time_max;comm_time_min;comm_time_avg;comm_time_max;max_alloced
1;239;239;269;416;2,53;3,04;3,17;0,0166;0,0194;0,0228;1152431332
2;239;239;269;416;2,62;121;178;0,0109;0,0149;0,0194;1159532164
3;239;239;269;416;2,62;121;178;0,011;0,0148;0,0194;1166632996
4;239;239;269;416;2,62;121;178;0,0112;0,0152;0,0197;1173733828
5;239;239;269;416;2,62;121;178;0,0111;0,0148;0,0195;1180834660
6;239;239;269;416;2,63;121;178;0,0109;0,0149;0,02;1187935492
7;239;239;269;416;2,62;122;178;0,0111;0,0151;0,0202;1195036324
8;240;240;271;422;2,62;121;178;0,011;0,0152;0,0203;1202137156
9;239;239;269;416;2,62;125;184;0,0109;0,0151;0,0203;1209237988
10;239;240;269;418;2,62;121;178;0,0112;0,0154;0,0206;1216338820
