step;total_time;work_time_min;work_time_avg;work_time_max;prep_time_min;prep_time_avg;prep_time_max;comm_time_min;comm_time_avg;comm_time_max;max_alloced
1;19,9;20,1;27,9;46,2;0,0398;0,0537;0,0635;0,00524;0,006;0,00684;77988372
2;19,9;20;27,9;46,1;0,0358;11,1;26,1;0,00405;0,00515;0,00611;79037524
3;19,9;20,1;27,9;46,2;0,0388;11,1;26,1;0,00428;0,00538;0,0063;80086676
4;19,9;20;27,9;46,1;0,0373;11,1;26,1;0,00417;0,00529;0,00619;81135828
5;19,9;20;27,9;46,1;0,0347;11,1;26,1;0,00392;0,00506;0,00592;82184980
6;19,9;20,1;27,9;46,2;0,036;11,1;26,1;0,00415;0,00529;0,0062;83234132
7;19,9;20;27,9;46,1;0,0371;11,1;26,1;0,00355;0,00408;0,0047;84283284
8;19,9;20,1;28,2;47,3;0,0374;11,1;26,1;0,00381;0,00449;0,00538;85332436
9;19,9;20;27,9;46,1;0,0353;11,6;27,2;0,00417;0,00531;0,00618;86381588
10;19,9;20,1;28;46,5;0,0377;11,1;26,1;0,00435;0,00579;0,00666;87430740
