step;total_time;work_time_min;work_time_avg;work_time_max;prep_time_min;prep_time_avg;prep_time_max;comm_time_min;comm_time_avg;comm_time_max
1;0,0439;0,0465;0,0465;0,0465;8,2e-05;8,2e-05;8,2e-05;7,87e-06;7,87e-06;7,87e-06
2;0,0439;0,0466;0,0466;0,0466;2,15e-06;2,15e-06;2,15e-06;9,54e-07;9,54e-07;9,54e-07
3;0,0438;0,0465;0,0465;0,0465;1,19e-06;1,19e-06;1,19e-06;9,54e-07;9,54e-07;9,54e-07
4;0,044;0,0467;0,0467;0,0467;1,91e-06;1,91e-06;1,91e-06;0;0;0
5;0,0438;0,0465;0,0465;0,0465;1,91e-06;1,91e-06;1,91e-06;0;0;0
6;0,0439;0,0465;0,0465;0,0465;1,91e-06;1,91e-06;1,91e-06;0;0;0
7;0,0439;0,0466;0,0466;0,0466;1,91e-06;1,91e-06;1,91e-06;1,19e-06;1,19e-06;1,19e-06
8;0,0439;0,0466;0,0466;0,0466;9,54e-07;9,54e-07;9,54e-07;9,54e-07;9,54e-07;9,54e-07
9;0,045;0,0478;0,0478;0,0478;1,91e-06;1,91e-06;1,91e-06;0;0;0
10;0,0442;0,047;0,047;0,047;1,19e-06;1,19e-06;1,19e-06;9,54e-07;9,54e-07;9,54e-07
