step;total_time;work_time_min;work_time_avg;work_time_max;prep_time_min;prep_time_avg;prep_time_max;comm_time_min;comm_time_avg;comm_time_max
1;51,9;52,4;74,6;141;0,0396;0,0517;0,0576;0,00541;0,00546;0,0055
2;51,9;52,4;74,6;141;0,0375;33,3;88,5;0,00406;0,00476;0,00519
3;51,9;52,4;74,6;141;0,0376;33,3;88,5;0,00409;0,00485;0,00591
4;51,9;52,4;74,6;141;0,0384;33,3;88,5;0,00472;0,00546;0,00642
5;51,9;52,4;74,6;141;0,0379;33,3;88,5;0,00396;0,00493;0,00572
6;51,9;52,4;74,6;141;0,0376;33,3;88,5;0,00406;0,00511;0,00573
7;51,9;52,4;74,6;141;0,038;33,3;88,4;0,0042;0,00534;0,00588
8;52,2;52,7;76,2;147;0,0381;33,3;88,5;0,00431;0,00543;0,00596
9;51,9;52,4;74,6;141;0,0377;35,2;93,6;0,00409;0,00442;0,00478
10;52;52,5;75,1;143;0,0378;33,3;88,5;0,00397;0,00429;0,00464
