step;total_time;work_time_min;work_time_avg;work_time_max;prep_time_min;prep_time_avg;prep_time_max;comm_time_min;comm_time_avg;comm_time_max
1;1,83;1,76;1,95;2,23;0,0037;0,00454;0,00541;0,0042;0,00445;0,00476
2;1,82;1,76;1,96;2,23;0,00242;0,224;0,435;0,00141;0,00151;0,00171
3;1,82;1,76;1,95;2,23;0,00267;0,223;0,432;0,00135;0,00146;0,00164
4;1,82;1,76;1,95;2,23;0,00258;0,224;0,433;0,00113;0,00123;0,00137
5;1,82;1,76;1,95;2,23;0,00266;0,223;0,433;0,0014;0,0015;0,00171
6;1,82;1,76;1,95;2,23;0,00256;0,223;0,432;0,00113;0,00121;0,00134
7;1,82;1,76;1,95;2,23;0,00268;0,224;0,433;0,00153;0,00175;0,00197
8;1,84;1,77;1,97;2,25;0,00247;0,223;0,432;0,00116;0,00124;0,00139
9;1,82;1,76;1,95;2,23;0,00247;0,23;0,442;0,00113;0,00122;0,00135
10;1,83;1,76;1,96;2,24;0,00251;0,223;0,432;0,00113;0,00122;0,00136
