step;total_time;work_time_min;work_time_avg;work_time_max;prep_time_min;prep_time_avg;prep_time_max;comm_time_min;comm_time_avg;comm_time_max
1;6,39;6,57;6,57;6,57;8,61e-05;8,61e-05;8,61e-05;6,91e-06;6,91e-06;6,91e-06
2;6,39;6,57;6,57;6,57;1,41e-05;1,41e-05;1,41e-05;2,86e-06;2,86e-06;2,86e-06
3;6,39;6,57;6,57;6,57;1,91e-05;1,91e-05;1,91e-05;2,86e-06;2,86e-06;2,86e-06
4;6,38;6,56;6,56;6,56;7,87e-06;7,87e-06;7,87e-06;2,15e-06;2,15e-06;2,15e-06
5;6,38;6,56;6,56;6,56;1,41e-05;1,41e-05;1,41e-05;2,86e-06;2,86e-06;2,86e-06
6;6,38;6,56;6,56;6,56;8,82e-06;8,82e-06;8,82e-06;9,54e-07;9,54e-07;9,54e-07
7;6,38;6,56;6,56;6,56;1,29e-05;1,29e-05;1,29e-05;2,15e-06;2,15e-06;2,15e-06
8;6,39;6,57;6,57;6,57;9,06e-06;9,06e-06;9,06e-06;1,91e-06;1,91e-06;1,91e-06
9;6,38;6,56;6,56;6,56;9,06e-06;9,06e-06;9,06e-06;1,91e-06;1,91e-06;1,91e-06
10;6,4;6,57;6,57;6,57;9,06e-06;9,06e-06;9,06e-06;1,91e-06;1,91e-06;1,91e-06
