step;total_time;work_time_min;work_time_avg;work_time_max;prep_time_min;prep_time_avg;prep_time_max;comm_time_min;comm_time_avg;comm_time_max
1;5,3;5,38;5,38;5,38;0,00299;0,00299;0,00299;0,000269;0,000269;0,000269
2;5,26;5,35;5,35;5,35;1,31e-05;1,31e-05;1,31e-05;1,91e-06;1,91e-06;1,91e-06
3;5,27;5,36;5,36;5,36;1,1e-05;1,1e-05;1,1e-05;1,91e-06;1,91e-06;1,91e-06
4;5,27;5,36;5,36;5,36;1,22e-05;1,22e-05;1,22e-05;9,54e-07;9,54e-07;9,54e-07
5;5,24;5,33;5,33;5,33;5,01e-06;5,01e-06;5,01e-06;1,19e-06;1,19e-06;1,19e-06
6;5,41;5,5;5,5;5,5;1,1e-05;1,1e-05;1,1e-05;9,54e-07;9,54e-07;9,54e-07
7;5,26;5,35;5,35;5,35;9,06e-06;9,06e-06;9,06e-06;1,91e-06;1,91e-06;1,91e-06
8;5,27;5,36;5,36;5,36;1,1e-05;1,1e-05;1,1e-05;3,1e-06;3,1e-06;3,1e-06
9;5,26;5,35;5,35;5,35;6,91e-06;6,91e-06;6,91e-06;1,19e-06;1,19e-06;1,19e-06
10;5,28;5,37;5,37;5,37;5,96e-06;5,96e-06;5,96e-06;2,15e-06;2,15e-06;2,15e-06
