step;total_time;work_time_min;work_time_avg;work_time_max;prep_time_min;prep_time_avg;prep_time_max;comm_time_min;comm_time_avg;comm_time_max
1;47,7;48,5;48,5;48,5;8,8e-05;8,8e-05;8,8e-05;8,11e-06;8,11e-06;8,11e-06
2;48;48,7;48,7;48,7;1,88e-05;1,88e-05;1,88e-05;4,05e-06;4,05e-06;4,05e-06
3;48;48,7;48,7;48,7;2,31e-05;2,31e-05;2,31e-05;2,86e-06;2,86e-06;2,86e-06
4;47,1;47,8;47,8;47,8;1,91e-05;1,91e-05;1,91e-05;3,1e-06;3,1e-06;3,1e-06
5;47;47,7;47,7;47,7;2e-05;2e-05;2e-05;2,86e-06;2,86e-06;2,86e-06
6;46,6;47,3;47,3;47,3;5,2e-05;5,2e-05;5,2e-05;1,91e-06;1,91e-06;1,91e-06
7;46,5;47,3;47,3;47,3;1,41e-05;1,41e-05;1,41e-05;1,91e-06;1,91e-06;1,91e-06
8;47;47,7;47,7;47,7;1,41e-05;1,41e-05;1,41e-05;3,1e-06;3,1e-06;3,1e-06
9;47,5;48,2;48,2;48,2;1,41e-05;1,41e-05;1,41e-05;3,1e-06;3,1e-06;3,1e-06
10;47,9;48,6;48,6;48,6;1,5e-05;1,5e-05;1,5e-05;1,91e-06;1,91e-06;1,91e-06
