step;total_time;work_time_min;work_time_avg;work_time_max;prep_time_min;prep_time_avg;prep_time_max;comm_time_min;comm_time_avg;comm_time_max
1;1,96;2;2;2;7,7e-05;7,7e-05;7,7e-05;6,2e-06;6,2e-06;6,2e-06
2;1,94;1,99;1,99;1,99;1,6e-05;1,6e-05;1,6e-05;1,19e-06;1,19e-06;1,19e-06
3;1,94;1,99;1,99;1,99;4,05e-06;4,05e-06;4,05e-06;9,54e-07;9,54e-07;9,54e-07
4;1,95;1,99;1,99;1,99;6,91e-06;6,91e-06;6,91e-06;2,15e-06;2,15e-06;2,15e-06
5;1,94;1,98;1,98;1,98;9,78e-06;9,78e-06;9,78e-06;2,15e-06;2,15e-06;2,15e-06
6;1,94;1,98;1,98;1,98;3,1e-06;3,1e-06;3,1e-06;9,54e-07;9,54e-07;9,54e-07
7;1,94;1,98;1,98;1,98;1,91e-06;1,91e-06;1,91e-06;9,54e-07;9,54e-07;9,54e-07
8;1,94;1,98;1,98;1,98;7,15e-06;7,15e-06;7,15e-06;9,54e-07;9,54e-07;9,54e-07
9;1,94;1,98;1,98;1,98;3,1e-06;3,1e-06;3,1e-06;9,54e-07;9,54e-07;9,54e-07
10;1,94;1,99;1,99;1,99;3,1e-06;3,1e-06;3,1e-06;9,54e-07;9,54e-07;9,54e-07
