step;total_time;work_time_min;work_time_avg;work_time_max;prep_time_min;prep_time_avg;prep_time_max;comm_time_min;comm_time_avg;comm_time_max
1;0,0303;0,0274;0,0274;0,0274;0,00363;0,00363;0,00363;0,000833;0,000833;0,000833
2;0,0254;0,0269;0,0269;0,0269;2,86e-06;2,86e-06;2,86e-06;1,19e-06;1,19e-06;1,19e-06
3;0,0255;0,0268;0,0268;0,0268;9,54e-07;9,54e-07;9,54e-07;1,19e-06;1,19e-06;1,19e-06
4;0,0258;0,0271;0,0271;0,0271;9,54e-07;9,54e-07;9,54e-07;9,54e-07;9,54e-07;9,54e-07
5;0,0255;0,0268;0,0268;0,0268;9,54e-07;9,54e-07;9,54e-07;0;0;0
6;0,0258;0,0271;0,0271;0,0271;9,54e-07;9,54e-07;9,54e-07;9,54e-07;9,54e-07;9,54e-07
7;0,0254;0,0268;0,0268;0,0268;1,91e-06;1,91e-06;1,91e-06;0;0;0
8;0,0253;0,0266;0,0266;0,0266;9,54e-07;9,54e-07;9,54e-07;9,54e-07;9,54e-07;9,54e-07
9;0,0255;0,0268;0,0268;0,0268;9,54e-07;9,54e-07;9,54e-07;1,19e-06;1,19e-06;1,19e-06
10;0,0259;0,0273;0,0273;0,0273;1,91e-06;1,91e-06;1,91e-06;0;0;0
