step;total_time;work_time_min;work_time_avg;work_time_max;prep_time_min;prep_time_avg;prep_time_max;comm_time_min;comm_time_avg;comm_time_max
1;0,0121;0,00883;0,00883;0,00883;0,00348;0,00348;0,00348;0,000387;0,000387;0,000387
2;0,00824;0,00885;0,00885;0,00885;1,91e-06;1,91e-06;1,91e-06;1,19e-06;1,19e-06;1,19e-06
3;0,00848;0,00911;0,00911;0,00911;9,54e-07;9,54e-07;9,54e-07;9,54e-07;9,54e-07;9,54e-07
4;0,00895;0,00959;0,00959;0,00959;2,86e-06;2,86e-06;2,86e-06;9,54e-07;9,54e-07;9,54e-07
5;0,00824;0,00884;0,00884;0,00884;1,19e-06;1,19e-06;1,19e-06;9,54e-07;9,54e-07;9,54e-07
6;0,00823;0,00883;0,00883;0,00883;1,91e-06;1,91e-06;1,91e-06;2,15e-06;2,15e-06;2,15e-06
7;0,00823;0,00884;0,00884;0,00884;1,19e-06;1,19e-06;1,19e-06;9,54e-07;9,54e-07;9,54e-07
8;0,00824;0,00885;0,00885;0,00885;1,91e-06;1,91e-06;1,91e-06;0;0;0
9;0,00824;0,00884;0,00884;0,00884;9,54e-07;9,54e-07;9,54e-07;9,54e-07;9,54e-07;9,54e-07
10;0,00828;0,00889;0,00889;0,00889;2,86e-06;2,86e-06;2,86e-06;0;0;0
