step;total_time;work_time_min;work_time_avg;work_time_max;prep_time_min;prep_time_avg;prep_time_max;comm_time_min;comm_time_avg;comm_time_max
1;0,12;0,12;0,144;0,167;0,000703;0,00147;0,00212;0,00131;0,00139;0,00153
2;0,118;0,12;0,143;0,167;0,000263;0,0165;0,0444;0,000362;0,000384;0,000407
3;0,117;0,12;0,143;0,167;0,000406;0,0166;0,0444;0,000347;0,000361;0,000385
4;0,125;0,121;0,143;0,167;0,000399;0,0166;0,0444;0,000349;0,000369;0,000402
5;0,118;0,121;0,144;0,167;0,000235;0,0167;0,0445;0,000363;0,000392;0,000426
6;0,13;0,12;0,143;0,167;0,00366;0,0221;0,0477;0,000311;0,00719;0,0095
7;0,12;0,122;0,144;0,169;0,000411;0,0165;0,0443;0,000391;0,000414;0,000442
8;0,124;0,121;0,144;0,167;0,000243;0,0186;0,0471;0,000403;0,00353;0,00635
9;0,118;0,12;0,144;0,169;0,000417;0,0189;0,0499;0,000409;0,000427;0,000452
10;0,118;0,121;0,144;0,168;0,000445;0,018;0,0462;0,000431;0,000447;0,000467
