step;total_time;work_time_min;work_time_avg;work_time_max;prep_time_min;prep_time_avg;prep_time_max;comm_time_min;comm_time_avg;comm_time_max
1;0,508;0,515;0,515;0,515;0,0028;0,0028;0,0028;0,000543;0,000543;0,000543
2;0,514;0,525;0,525;0,525;3,81e-06;3,81e-06;3,81e-06;1,19e-06;1,19e-06;1,19e-06
3;0,514;0,526;0,526;0,526;3,1e-06;3,1e-06;3,1e-06;1,91e-06;1,91e-06;1,91e-06
4;0,512;0,523;0,523;0,523;1,91e-06;1,91e-06;1,91e-06;9,54e-07;9,54e-07;9,54e-07
5;0,511;0,521;0,521;0,521;6,91e-06;6,91e-06;6,91e-06;1,91e-06;1,91e-06;1,91e-06
6;0,515;0,526;0,526;0,526;2,86e-06;2,86e-06;2,86e-06;1,19e-06;1,19e-06;1,19e-06
7;0,504;0,515;0,515;0,515;3,1e-06;3,1e-06;3,1e-06;9,54e-07;9,54e-07;9,54e-07
8;0,504;0,516;0,516;0,516;5,01e-06;5,01e-06;5,01e-06;9,54e-07;9,54e-07;9,54e-07
9;0,504;0,515;0,515;0,515;7,15e-06;7,15e-06;7,15e-06;9,54e-07;9,54e-07;9,54e-07
10;0,507;0,518;0,518;0,518;1,91e-06;1,91e-06;1,91e-06;9,54e-07;9,54e-07;9,54e-07
