step;total_time;work_time_min;work_time_avg;work_time_max;prep_time_min;prep_time_avg;prep_time_max;comm_time_min;comm_time_avg;comm_time_max
1;17,4;17,7;17,7;17,7;8,2e-05;8,2e-05;8,2e-05;6,2e-06;6,2e-06;6,2e-06
2;17,3;17,7;17,7;17,7;1,5e-05;1,5e-05;1,5e-05;2,86e-06;2,86e-06;2,86e-06
3;17,3;17,7;17,7;17,7;1,31e-05;1,31e-05;1,31e-05;2,86e-06;2,86e-06;2,86e-06
4;17,3;17,7;17,7;17,7;1,29e-05;1,29e-05;1,29e-05;3,1e-06;3,1e-06;3,1e-06
5;17,3;17,6;17,6;17,6;1,41e-05;1,41e-05;1,41e-05;1,91e-06;1,91e-06;1,91e-06
6;17,5;17,8;17,8;17,8;6,91e-06;6,91e-06;6,91e-06;1,91e-06;1,91e-06;1,91e-06
7;17,4;17,8;17,8;17,8;1,31e-05;1,31e-05;1,31e-05;3,1e-06;3,1e-06;3,1e-06
8;17,5;17,9;17,9;17,9;8,11e-06;8,11e-06;8,11e-06;2,86e-06;2,86e-06;2,86e-06
9;17,4;17,8;17,8;17,8;6,91e-06;6,91e-06;6,91e-06;3,1e-06;3,1e-06;3,1e-06
10;17,5;17,8;17,8;17,8;8,11e-06;8,11e-06;8,11e-06;1,91e-06;1,91e-06;1,91e-06
