step;total_time;work_time_min;work_time_avg;work_time_max;prep_time_min;prep_time_avg;prep_time_max;comm_time_min;comm_time_avg;comm_time_max
1;58,3;59,7;59,7;59,7;0,00348;0,00348;0,00348;0,000548;0,000548;0,000548
2;57,4;58,8;58,8;58,8;1,91e-05;1,91e-05;1,91e-05;2,86e-06;2,86e-06;2,86e-06
3;56,9;58,3;58,3;58,3;1,69e-05;1,69e-05;1,69e-05;2,15e-06;2,15e-06;2,15e-06
4;57,5;58,9;58,9;58,9;1,69e-05;1,69e-05;1,69e-05;1,91e-06;1,91e-06;1,91e-06
5;56,4;57,8;57,8;57,8;1,93e-05;1,93e-05;1,93e-05;2,86e-06;2,86e-06;2,86e-06
6;56,1;57,6;57,6;57,6;1,5e-05;1,5e-05;1,5e-05;2,86e-06;2,86e-06;2,86e-06
7;55,8;57,2;57,2;57,2;1,5e-05;1,5e-05;1,5e-05;2,86e-06;2,86e-06;2,86e-06
8;56,1;57,6;57,6;57,6;1,5e-05;1,5e-05;1,5e-05;3,1e-06;3,1e-06;3,1e-06
9;55,9;57,3;57,3;57,3;1,41e-05;1,41e-05;1,41e-05;1,91e-06;1,91e-06;1,91e-06
10;56,7;58,1;58,1;58,1;1,5e-05;1,5e-05;1,5e-05;2,86e-06;2,86e-06;2,86e-06
