step;total_time;work_time_min;work_time_avg;work_time_max;prep_time_min;prep_time_avg;prep_time_max;comm_time_min;comm_time_avg;comm_time_max
1;419;424;424;424;7,7e-05;7,7e-05;7,7e-05;1,1e-05;1,1e-05;1,1e-05
2;416;421;421;421;1,6e-05;1,6e-05;1,6e-05;3,1e-06;3,1e-06;3,1e-06
3;414;420;420;420;1,79e-05;1,79e-05;1,79e-05;3,1e-06;3,1e-06;3,1e-06
4;413;419;419;419;1,69e-05;1,69e-05;1,69e-05;2,86e-06;2,86e-06;2,86e-06
5;416;422;422;422;1,5e-05;1,5e-05;1,5e-05;2,86e-06;2,86e-06;2,86e-06
6;418;423;423;423;1,6e-05;1,6e-05;1,6e-05;2,86e-06;2,86e-06;2,86e-06
7;425;431;431;431;1,79e-05;1,79e-05;1,79e-05;3,1e-06;3,1e-06;3,1e-06
8;422;427;427;427;2e-05;2e-05;2e-05;3,1e-06;3,1e-06;3,1e-06
9;417;422;422;422;1,69e-05;1,69e-05;1,69e-05;3,1e-06;3,1e-06;3,1e-06
10;428;433;433;433;1,72e-05;1,72e-05;1,72e-05;3,81e-06;3,81e-06;3,81e-06
