step;total_time;work_time_min;work_time_avg;work_time_max;prep_time_min;prep_time_avg;prep_time_max;comm_time_min;comm_time_avg;comm_time_max
1;154;156;156;156;0,000124;0,000124;0,000124;7,87e-06;7,87e-06;7,87e-06
2;153;156;156;156;1,72e-05;1,72e-05;1,72e-05;1,91e-06;1,91e-06;1,91e-06
3;153;156;156;156;1,5e-05;1,5e-05;1,5e-05;1,91e-06;1,91e-06;1,91e-06
4;153;156;156;156;1,69e-05;1,69e-05;1,69e-05;3,1e-06;3,1e-06;3,1e-06
5;154;157;157;157;1,5e-05;1,5e-05;1,5e-05;2,86e-06;2,86e-06;2,86e-06
6;156;159;159;159;1,62e-05;1,62e-05;1,62e-05;2,86e-06;2,86e-06;2,86e-06
7;154;157;157;157;1,69e-05;1,69e-05;1,69e-05;1,91e-06;1,91e-06;1,91e-06
8;158;161;161;161;1,81e-05;1,81e-05;1,81e-05;2,86e-06;2,86e-06;2,86e-06
9;156;159;159;159;1,5e-05;1,5e-05;1,5e-05;3,1e-06;3,1e-06;3,1e-06
10;156;158;158;158;1,6e-05;1,6e-05;1,6e-05;3,1e-06;3,1e-06;3,1e-06
