step;total_time;work_time_min;work_time_avg;work_time_max;prep_time_min;prep_time_avg;prep_time_max;comm_time_min;comm_time_avg;comm_time_max
1;37;37,6;67,3;96,9;0,0327;0,0436;0,0517;0,00355;0,00364;0,00373
2;37;37,6;67,2;96,9;0,033;0,0467;0,0753;0,00277;0,00284;0,00289
3;37;37,6;67,2;96,8;0,033;0,0561;0,117;0,00272;0,0029;0,00332
4;37;37,6;67,3;96,9;0,0329;0,0531;0,107;0,00272;0,00286;0,00319
5;37;37,6;67,2;96,9;0,0328;0,0571;0,122;0,00258;0,00286;0,00315
6;37;37,7;67,4;97,2;0,0331;0,0606;0,0857;0,00235;0,00271;0,00287
7;37;37,6;67,2;96,9;0,0318;0,125;0,401;0,00238;0,00273;0,00287
8;37,2;37,8;69,2;101;0,0298;0,0431;0,0785;0,00207;0,00212;0,00217
9;37;37,6;67,2;96,8;0,0298;0,043;0,081;0,002;0,00204;0,00208
10;37,1;37,7;67,9;98,2;0,0297;0,0458;0,0914;0,00183;0,00186;0,0019
