step;total_time;work_time_min;work_time_avg;work_time_max;prep_time_min;prep_time_avg;prep_time_max;comm_time_min;comm_time_avg;comm_time_max
1;2,24;2,23;2,4;2,59;0,00445;0,0286;0,0301;0,00259;0,00276;0,00299
2;2,21;2,22;2,4;2,59;0,00647;0,15;0,378;0,00144;0,00155;0,00171
3;2,21;2,22;2,4;2,59;0,00693;0,15;0,379;0,00146;0,00157;0,00172
4;2,21;2,22;2,39;2,59;0,00677;0,15;0,38;0,00142;0,00153;0,00168
5;2,21;2,22;2,4;2,59;0,00666;0,149;0,378;0,00116;0,00125;0,00139
6;2,21;2,22;2,4;2,59;0,00745;0,149;0,379;0,00137;0,00147;0,00164
7;2,21;2,22;2,39;2,59;0,00657;0,15;0,379;0,00141;0,00153;0,00167
8;2,23;2,23;2,41;2,61;0,00643;0,15;0,378;0,00116;0,00125;0,00139
9;2,21;2,22;2,39;2,59;0,00668;0,154;0,39;0,00155;0,00187;0,00211
10;2,22;2,23;2,4;2,6;0,00812;0,152;0,382;0,00137;0,00162;0,00179
