step;total_time;work_time_min;work_time_avg;work_time_max;prep_time_min;prep_time_avg;prep_time_max;comm_time_min;comm_time_avg;comm_time_max
1;15,5;15,6;24,9;43,9;0,0197;0,0414;0,044;0,00503;0,00579;0,0066
2;15,5;15,6;24,9;44;0,0236;11,2;28,2;0,00391;0,00496;0,00588
3;15,4;15,6;24,8;44;0,0234;11,3;28,3;0,00344;0,00439;0,00519
4;15,4;15,6;24,9;44;0,0232;11,3;28,3;0,00347;0,00441;0,00519
5;15,4;15,6;24,8;44;0,0219;11,3;28,3;0,00392;0,00456;0,0053
6;15,4;15,6;24,8;44;0,0215;11,3;28,3;0,00431;0,00508;0,00581
7;15,4;15,6;24,8;44;0,0229;11,3;28,3;0,00331;0,00404;0,00463
8;15,5;15,7;25,4;45,7;0,0231;11,3;28,3;0,00343;0,00435;0,00525
9;15,5;15,6;24,9;44;0,0222;11,9;29,9;0,00394;0,00456;0,00531
10;15,4;15,6;25;44,5;0,0219;11,3;28,3;0,00381;0,00463;0,00522
