step;total_time;work_time_min;work_time_avg;work_time_max;prep_time_min;prep_time_avg;prep_time_max;comm_time_min;comm_time_avg;comm_time_max
1;0,688;0,711;0,711;0,711;8,92e-05;8,92e-05;8,92e-05;8,11e-06;8,11e-06;8,11e-06
2;0,704;0,727;0,727;0,727;5,01e-06;5,01e-06;5,01e-06;9,54e-07;9,54e-07;9,54e-07
3;0,688;0,71;0,71;0,71;5,96e-06;5,96e-06;5,96e-06;9,54e-07;9,54e-07;9,54e-07
4;0,689;0,711;0,711;0,711;1,5e-05;1,5e-05;1,5e-05;1,91e-06;1,91e-06;1,91e-06
5;0,689;0,711;0,711;0,711;4,05e-06;4,05e-06;4,05e-06;9,54e-07;9,54e-07;9,54e-07
6;0,688;0,71;0,71;0,71;2,15e-06;2,15e-06;2,15e-06;1,91e-06;1,91e-06;1,91e-06
7;0,689;0,711;0,711;0,711;6,91e-06;6,91e-06;6,91e-06;1,91e-06;1,91e-06;1,91e-06
8;0,688;0,71;0,71;0,71;3,81e-06;3,81e-06;3,81e-06;1,19e-06;1,19e-06;1,19e-06
9;0,688;0,71;0,71;0,71;3,1e-06;3,1e-06;3,1e-06;9,54e-07;9,54e-07;9,54e-07
10;0,69;0,713;0,713;0,713;2,86e-06;2,86e-06;2,86e-06;1,19e-06;1,19e-06;1,19e-06
