step;total_time;work_time_min;work_time_avg;work_time_max;prep_time_min;prep_time_avg;prep_time_max;comm_time_min;comm_time_avg;comm_time_max
1;49,5;50,1;73,8;135;0,098;0,115;0,127;0,00901;0,0104;0,0118
2;49,4;50;73,7;135;0,085;45,5;84,3;0,00657;0,00838;0,0105
3;49,4;50;73,7;135;0,0868;45,4;84,2;0,00662;0,00837;0,0105
4;49,4;50;73,7;135;0,0874;45,4;84,3;0,00665;0,00841;0,0105
5;49,4;50;73,7;135;0,0858;45,4;84,2;0,00658;0,00831;0,0104
6;49,4;50;73,7;135;0,0872;45,4;84,3;0,00652;0,00832;0,0104
7;49,4;50;73,7;135;0,0854;45,4;84,2;0,00673;0,0084;0,0106
8;49,6;50,2;75,1;139;0,0883;45,4;84,3;0,00664;0,00835;0,0104
9;49,4;50;73,7;135;0,0871;47,9;88,7;0,00663;0,00842;0,0104
10;49,5;50;74,1;136;0,0868;45,4;84,2;0,00649;0,00836;0,0104
