step;total_time;work_time_min;work_time_avg;work_time_max;prep_time_min;prep_time_avg;prep_time_max;comm_time_min;comm_time_avg;comm_time_max
1;27,7;28,4;46,1;63,8;0,0366;0,0422;0,0477;0,00188;0,00188;0,00188
2;27,7;28,4;46,1;63,8;0,034;0,0389;0,0437;0,00131;0,00146;0,00162
3;27,7;28,4;46,1;63,8;0,0346;0,0387;0,0427;0,00137;0,00146;0,00154
4;27,7;28,4;46,1;63,8;0,034;0,0382;0,0424;0,00108;0,00114;0,00119
5;27,7;28,4;46,1;63,8;0,0341;0,0383;0,0424;0,00111;0,00111;0,00111
6;27,8;28,4;46,1;63,8;0,0336;0,0376;0,0416;0,0011;0,0011;0,00111
7;27,7;28,4;46,1;63,8;0,0342;0,038;0,0418;0,00109;0,0011;0,0011
8;27,9;28,5;47,2;65,9;0,0339;0,0373;0,0407;0,00109;0,00109;0,0011
9;27,7;28,4;46,1;63,8;0,0339;0,038;0,042;0,00108;0,00108;0,00108
10;27,8;28,5;46,6;64,7;0,0343;0,0377;0,0411;0,000909;0,000917;0,000924
