step;total_time;work_time_min;work_time_avg;work_time_max;prep_time_min;prep_time_avg;prep_time_max;comm_time_min;comm_time_avg;comm_time_max
1;17,3;17,7;17,7;17,7;7,8e-05;7,8e-05;7,8e-05;6,2e-06;6,2e-06;6,2e-06
2;17,5;17,9;17,9;17,9;1,53e-05;1,53e-05;1,53e-05;1,91e-06;1,91e-06;1,91e-06
3;17,5;17,9;17,9;17,9;1,41e-05;1,41e-05;1,41e-05;2,86e-06;2,86e-06;2,86e-06
4;17,6;18;18;18;1,29e-05;1,29e-05;1,29e-05;3,1e-06;3,1e-06;3,1e-06
5;17,7;18,1;18,1;18,1;2,79e-05;2,79e-05;2,79e-05;4,05e-06;4,05e-06;4,05e-06
6;17,7;18;18;18;1,69e-05;1,69e-05;1,69e-05;3,1e-06;3,1e-06;3,1e-06
7;17,4;17,8;17,8;17,8;1,79e-05;1,79e-05;1,79e-05;2,86e-06;2,86e-06;2,86e-06
8;17,5;17,9;17,9;17,9;1,5e-05;1,5e-05;1,5e-05;1,91e-06;1,91e-06;1,91e-06
9;17,5;17,8;17,8;17,8;1,48e-05;1,48e-05;1,48e-05;2,15e-06;2,15e-06;2,15e-06
10;17,5;17,9;17,9;17,9;6,91e-06;6,91e-06;6,91e-06;2,15e-06;2,15e-06;2,15e-06
