step;total_time;work_time_min;work_time_avg;work_time_max;prep_time_min;prep_time_avg;prep_time_max;comm_time_min;comm_time_avg;comm_time_max
1;55,6;57;57;57;3,48e-05;3,48e-05;3,48e-05;7,15e-06;7,15e-06;7,15e-06
2;55,6;57;57;57;1,41e-05;1,41e-05;1,41e-05;1,91e-06;1,91e-06;1,91e-06
3;55,5;56,9;56,9;56,9;1,53e-05;1,53e-05;1,53e-05;2,86e-06;2,86e-06;2,86e-06
4;55,5;56,9;56,9;56,9;1,34e-05;1,34e-05;1,34e-05;2,86e-06;2,86e-06;2,86e-06
5;55,5;56,9;56,9;56,9;1,38e-05;1,38e-05;1,38e-05;3,1e-06;3,1e-06;3,1e-06
6;55,5;56,9;56,9;56,9;1,57e-05;1,57e-05;1,57e-05;2,15e-06;2,15e-06;2,15e-06
7;55,5;56,9;56,9;56,9;1,29e-05;1,29e-05;1,29e-05;2,15e-06;2,15e-06;2,15e-06
8;55,8;57,2;57,2;57,2;1,19e-05;1,19e-05;1,19e-05;3,1e-06;3,1e-06;3,1e-06
9;55,5;57;57;57;1,41e-05;1,41e-05;1,41e-05;1,91e-06;1,91e-06;1,91e-06
10;55,7;57,1;57,1;57,1;1,41e-05;1,41e-05;1,41e-05;3,1e-06;3,1e-06;3,1e-06
