step;total_time;work_time_min;work_time_avg;work_time_max;prep_time_min;prep_time_avg;prep_time_max;comm_time_min;comm_time_avg;comm_time_max;elem_pot
1;0,682;0,704;0,704;0,704;8,01e-05;8,01e-05;8,01e-05;5,96e-06;5,96e-06;5,96e-06;15
2;0,72;0,743;0,743;0,743;2,86e-06;2,86e-06;2,86e-06;9,54e-07;9,54e-07;9,54e-07;15
3;0,683;0,705;0,705;0,705;2,15e-06;2,15e-06;2,15e-06;9,54e-07;9,54e-07;9,54e-07;15
4;0,682;0,704;0,704;0,704;7,15e-06;7,15e-06;7,15e-06;9,54e-07;9,54e-07;9,54e-07;15
5;0,683;0,705;0,705;0,705;2,15e-06;2,15e-06;2,15e-06;9,54e-07;9,54e-07;9,54e-07;15
6;0,683;0,705;0,705;0,705;1,91e-06;1,91e-06;1,91e-06;9,54e-07;9,54e-07;9,54e-07;15
7;0,682;0,704;0,704;0,704;8,11e-06;8,11e-06;8,11e-06;9,54e-07;9,54e-07;9,54e-07;15
8;0,686;0,708;0,708;0,708;2,15e-06;2,15e-06;2,15e-06;9,54e-07;9,54e-07;9,54e-07;15
9;0,681;0,703;0,703;0,703;3,1e-06;3,1e-06;3,1e-06;9,54e-07;9,54e-07;9,54e-07;15
10;0,684;0,706;0,706;0,706;1,91e-06;1,91e-06;1,91e-06;1,91e-06;1,91e-06;1,91e-06;15
