step;total_time;work_time_min;work_time_avg;work_time_max;prep_time_min;prep_time_avg;prep_time_max;comm_time_min;comm_time_avg;comm_time_max
1;1,91;1,95;1,95;1,95;8,01e-05;8,01e-05;8,01e-05;6,91e-06;6,91e-06;6,91e-06
2;1,9;1,95;1,95;1,95;5,01e-06;5,01e-06;5,01e-06;2,15e-06;2,15e-06;2,15e-06
3;1,9;1,95;1,95;1,95;1e-05;1e-05;1e-05;9,54e-07;9,54e-07;9,54e-07
4;1,9;1,95;1,95;1,95;9,06e-06;9,06e-06;9,06e-06;1,91e-06;1,91e-06;1,91e-06
5;1,91;1,95;1,95;1,95;8,11e-06;8,11e-06;8,11e-06;1,91e-06;1,91e-06;1,91e-06
6;1,9;1,95;1,95;1,95;4,05e-06;4,05e-06;4,05e-06;1,91e-06;1,91e-06;1,91e-06
7;1,91;1,95;1,95;1,95;4,05e-06;4,05e-06;4,05e-06;1,91e-06;1,91e-06;1,91e-06
8;1,91;1,95;1,95;1,95;2,6e-05;2,6e-05;2,6e-05;9,54e-07;9,54e-07;9,54e-07
9;1,9;1,95;1,95;1,95;1e-05;1e-05;1e-05;2,15e-06;2,15e-06;2,15e-06
10;1,91;1,95;1,95;1,95;5,01e-06;5,01e-06;5,01e-06;9,54e-07;9,54e-07;9,54e-07
