step;total_time;work_time_min;work_time_avg;work_time_max;prep_time_min;prep_time_avg;prep_time_max;comm_time_min;comm_time_avg;comm_time_max
1;154;157;157;157;9,73e-05;9,73e-05;9,73e-05;7,87e-06;7,87e-06;7,87e-06
2;154;157;157;157;1,69e-05;1,69e-05;1,69e-05;2,86e-06;2,86e-06;2,86e-06
3;154;157;157;157;2,1e-05;2,1e-05;2,1e-05;2,86e-06;2,86e-06;2,86e-06
4;155;158;158;158;1,62e-05;1,62e-05;1,62e-05;2,86e-06;2,86e-06;2,86e-06
5;155;158;158;158;2,19e-05;2,19e-05;2,19e-05;2,86e-06;2,86e-06;2,86e-06
6;154;157;157;157;4,82e-05;4,82e-05;4,82e-05;3,1e-06;3,1e-06;3,1e-06
7;154;157;157;157;1,69e-05;1,69e-05;1,69e-05;3,1e-06;3,1e-06;3,1e-06
8;156;159;159;159;1,6e-05;1,6e-05;1,6e-05;2,86e-06;2,86e-06;2,86e-06
9;154;157;157;157;1,6e-05;1,6e-05;1,6e-05;1,91e-06;1,91e-06;1,91e-06
10;155;157;157;157;1,62e-05;1,62e-05;1,62e-05;1,91e-06;1,91e-06;1,91e-06
