step;total_time;work_time_min;work_time_avg;work_time_max;prep_time_min;prep_time_avg;prep_time_max;comm_time_min;comm_time_avg;comm_time_max
1;5,27;5,36;5,36;5,36;7,39e-05;7,39e-05;7,39e-05;5,96e-06;5,96e-06;5,96e-06
2;5,27;5,36;5,36;5,36;1,41e-05;1,41e-05;1,41e-05;1,91e-06;1,91e-06;1,91e-06
3;5,27;5,36;5,36;5,36;1,19e-05;1,19e-05;1,19e-05;1,91e-06;1,91e-06;1,91e-06
4;5,33;5,42;5,42;5,42;1,29e-05;1,29e-05;1,29e-05;1,91e-06;1,91e-06;1,91e-06
5;5,25;5,34;5,34;5,34;1,6e-05;1,6e-05;1,6e-05;9,54e-07;9,54e-07;9,54e-07
6;5,27;5,36;5,36;5,36;1,19e-05;1,19e-05;1,19e-05;1,19e-06;1,19e-06;1,19e-06
7;5,26;5,34;5,34;5,34;1,29e-05;1,29e-05;1,29e-05;2,15e-06;2,15e-06;2,15e-06
8;5,26;5,35;5,35;5,35;9,06e-06;9,06e-06;9,06e-06;1,91e-06;1,91e-06;1,91e-06
9;5,26;5,34;5,34;5,34;1,1e-05;1,1e-05;1,1e-05;2,15e-06;2,15e-06;2,15e-06
10;5,27;5,36;5,36;5,36;3,81e-06;3,81e-06;3,81e-06;2,15e-06;2,15e-06;2,15e-06
