step;total_time;work_time_min;work_time_avg;work_time_max;prep_time_min;prep_time_avg;prep_time_max;comm_time_min;comm_time_avg;comm_time_max
1;0,00891;0,00998;0,00998;0,00998;3,6e-05;3,6e-05;3,6e-05;6,91e-06;6,91e-06;6,91e-06
2;0,0082;0,0088;0,0088;0,0088;1,91e-06;1,91e-06;1,91e-06;9,54e-07;9,54e-07;9,54e-07
3;0,0082;0,00879;0,00879;0,00879;1,19e-06;1,19e-06;1,19e-06;9,54e-07;9,54e-07;9,54e-07
4;0,00828;0,00888;0,00888;0,00888;2,15e-06;2,15e-06;2,15e-06;9,54e-07;9,54e-07;9,54e-07
5;0,00819;0,00879;0,00879;0,00879;9,54e-07;9,54e-07;9,54e-07;9,54e-07;9,54e-07;9,54e-07
6;0,00828;0,00889;0,00889;0,00889;1,19e-06;1,19e-06;1,19e-06;9,54e-07;9,54e-07;9,54e-07
7;0,00845;0,00904;0,00904;0,00904;9,54e-07;9,54e-07;9,54e-07;9,54e-07;9,54e-07;9,54e-07
8;0,0082;0,0088;0,0088;0,0088;2,15e-06;2,15e-06;2,15e-06;9,54e-07;9,54e-07;9,54e-07
9;0,0082;0,00879;0,00879;0,00879;9,54e-07;9,54e-07;9,54e-07;9,54e-07;9,54e-07;9,54e-07
10;0,00833;0,00893;0,00893;0,00893;9,54e-07;9,54e-07;9,54e-07;9,54e-07;9,54e-07;9,54e-07
