step;total_time;work_time_min;work_time_avg;work_time_max;prep_time_min;prep_time_avg;prep_time_max;comm_time_min;comm_time_avg;comm_time_max
1;6,39;6,57;6,57;6,57;8,7e-05;8,7e-05;8,7e-05;6,91e-06;6,91e-06;6,91e-06
2;6,39;6,57;6,57;6,57;1,53e-05;1,53e-05;1,53e-05;1,91e-06;1,91e-06;1,91e-06
3;6,38;6,56;6,56;6,56;1,62e-05;1,62e-05;1,62e-05;1,91e-06;1,91e-06;1,91e-06
4;6,38;6,55;6,55;6,55;1e-05;1e-05;1e-05;1,91e-06;1,91e-06;1,91e-06
5;6,59;6,76;6,76;6,76;1,6e-05;1,6e-05;1,6e-05;1,91e-06;1,91e-06;1,91e-06
6;6,47;6,66;6,66;6,66;1,19e-05;1,19e-05;1,19e-05;1,91e-06;1,91e-06;1,91e-06
7;6,46;6,63;6,63;6,63;1,31e-05;1,31e-05;1,31e-05;1,91e-06;1,91e-06;1,91e-06
8;6,52;6,7;6,7;6,7;8,82e-06;8,82e-06;8,82e-06;2,15e-06;2,15e-06;2,15e-06
9;6,52;6,7;6,7;6,7;1,69e-05;1,69e-05;1,69e-05;2,86e-06;2,86e-06;2,86e-06
10;6,44;6,62;6,62;6,62;2,03e-05;2,03e-05;2,03e-05;2,86e-06;2,86e-06;2,86e-06
