step;total_time;work_time_min;work_time_avg;work_time_max;prep_time_min;prep_time_avg;prep_time_max;comm_time_min;comm_time_avg;comm_time_max;elem_pot
1;0,0444;0,0472;0,0472;0,0472;8,7e-05;8,7e-05;8,7e-05;6,91e-06;6,91e-06;6,91e-06;12
2;0,0441;0,0468;0,0468;0,0468;1,91e-06;1,91e-06;1,91e-06;1,19e-06;1,19e-06;1,19e-06;12
3;0,0439;0,0466;0,0466;0,0466;9,54e-07;9,54e-07;9,54e-07;9,54e-07;9,54e-07;9,54e-07;12
4;0,044;0,0467;0,0467;0,0467;9,54e-07;9,54e-07;9,54e-07;9,54e-07;9,54e-07;9,54e-07;12
5;0,044;0,0468;0,0468;0,0468;9,54e-07;9,54e-07;9,54e-07;9,54e-07;9,54e-07;9,54e-07;12
6;0,0439;0,0466;0,0466;0,0466;9,54e-07;9,54e-07;9,54e-07;9,54e-07;9,54e-07;9,54e-07;12
7;0,0441;0,0468;0,0468;0,0468;9,54e-07;9,54e-07;9,54e-07;9,54e-07;9,54e-07;9,54e-07;12
8;0,0439;0,0466;0,0466;0,0466;9,54e-07;9,54e-07;9,54e-07;9,54e-07;9,54e-07;9,54e-07;12
9;0,044;0,0467;0,0467;0,0467;9,54e-07;9,54e-07;9,54e-07;9,54e-07;9,54e-07;9,54e-07;12
10;0,0443;0,047;0,047;0,047;9,54e-07;9,54e-07;9,54e-07;9,54e-07;9,54e-07;9,54e-07;12
