step;total_time;work_time_min;work_time_avg;work_time_max;prep_time_min;prep_time_avg;prep_time_max;comm_time_min;comm_time_avg;comm_time_max
1;0,0263;0,028;0,028;0,028;8,58e-05;8,58e-05;8,58e-05;6,2e-06;6,2e-06;6,2e-06
2;0,0256;0,0269;0,0269;0,0269;2,86e-06;2,86e-06;2,86e-06;9,54e-07;9,54e-07;9,54e-07
3;0,0257;0,0271;0,0271;0,0271;9,54e-07;9,54e-07;9,54e-07;9,54e-07;9,54e-07;9,54e-07
4;0,027;0,0282;0,0282;0,0282;9,54e-07;9,54e-07;9,54e-07;9,54e-07;9,54e-07;9,54e-07
5;0,0255;0,0268;0,0268;0,0268;9,54e-07;9,54e-07;9,54e-07;1,19e-06;1,19e-06;1,19e-06
6;0,0254;0,0267;0,0267;0,0267;1,91e-06;1,91e-06;1,91e-06;9,54e-07;9,54e-07;9,54e-07
7;0,0255;0,0268;0,0268;0,0268;9,54e-07;9,54e-07;9,54e-07;9,54e-07;9,54e-07;9,54e-07
8;0,0252;0,0265;0,0265;0,0265;2,15e-06;2,15e-06;2,15e-06;9,54e-07;9,54e-07;9,54e-07
9;0,0253;0,0266;0,0266;0,0266;9,54e-07;9,54e-07;9,54e-07;1,19e-06;1,19e-06;1,19e-06
10;0,0254;0,0267;0,0267;0,0267;1,91e-06;1,91e-06;1,91e-06;9,54e-07;9,54e-07;9,54e-07
