step;total_time;work_time_min;work_time_avg;work_time_max;prep_time_min;prep_time_avg;prep_time_max;comm_time_min;comm_time_avg;comm_time_max;elem_pot
1;0,499;0,51;0,51;0,51;2,81e-05;2,81e-05;2,81e-05;6,91e-06;6,91e-06;6,91e-06;14
2;0,516;0,527;0,527;0,527;4,05e-06;4,05e-06;4,05e-06;9,54e-07;9,54e-07;9,54e-07;14
3;0,519;0,53;0,53;0,53;2,86e-06;2,86e-06;2,86e-06;2,15e-06;2,15e-06;2,15e-06;14
4;0,499;0,51;0,51;0,51;2,86e-06;2,86e-06;2,86e-06;1,19e-06;1,19e-06;1,19e-06;14
5;0,499;0,51;0,51;0,51;5,96e-06;5,96e-06;5,96e-06;9,54e-07;9,54e-07;9,54e-07;14
6;0,499;0,51;0,51;0,51;2,86e-06;2,86e-06;2,86e-06;1,19e-06;1,19e-06;1,19e-06;14
7;0,5;0,511;0,511;0,511;2,86e-06;2,86e-06;2,86e-06;1,19e-06;1,19e-06;1,19e-06;14
8;0,499;0,51;0,51;0,51;2,86e-06;2,86e-06;2,86e-06;2,15e-06;2,15e-06;2,15e-06;14
9;0,499;0,51;0,51;0,51;5,96e-06;5,96e-06;5,96e-06;9,54e-07;9,54e-07;9,54e-07;14
10;0,501;0,512;0,512;0,512;3,1e-06;3,1e-06;3,1e-06;9,54e-07;9,54e-07;9,54e-07;14
