step;total_time;work_time_min;work_time_avg;work_time_max;prep_time_min;prep_time_avg;prep_time_max;comm_time_min;comm_time_avg;comm_time_max
1;478;490;490;490;0,00395;0,00395;0,00395;0,000767;0,000767;0,000767
2;475;487;487;487;1,84e-05;1,84e-05;1,84e-05;2,86e-06;2,86e-06;2,86e-06
3;475;487;487;487;1,6e-05;1,6e-05;1,6e-05;3,1e-06;3,1e-06;3,1e-06
4;475;487;487;487;1,5e-05;1,5e-05;1,5e-05;1,91e-06;1,91e-06;1,91e-06
5;475;487;487;487;1,43e-05;1,43e-05;1,43e-05;2,86e-06;2,86e-06;2,86e-06
6;475;487;487;487;1,41e-05;1,41e-05;1,41e-05;2,86e-06;2,86e-06;2,86e-06
7;475;487;487;487;1,5e-05;1,5e-05;1,5e-05;1,91e-06;1,91e-06;1,91e-06
8;480;491;491;491;1,41e-05;1,41e-05;1,41e-05;3,1e-06;3,1e-06;3,1e-06
9;475;487;487;487;1,5e-05;1,5e-05;1,5e-05;1,91e-06;1,91e-06;1,91e-06
10;477;488;488;488;1,31e-05;1,31e-05;1,31e-05;1,91e-06;1,91e-06;1,91e-06
